german,english,hungarian,type,⍨,,
durchsichtig,transparent; clear,átlátszó; érthető,adj,2014-07-06,,
ehrgeizig,ambitious,ambíciózus,adj,2014-08-31,,
ehrlich,honest,őszinte,adj,2014-08-13,,
einfallsreich,"imaginative, resourceful",ötletes,adj,2014-09-01,,
eingebildet,smug,beképzelt,adj,2014-08-31,,
eingerostet,rusty,rozsdás,adj,2014-08-02,,
einig,"agreed, united, in agreement",egyetértésben lenni,adj,2014-10-13,,
"einige,-","some, a few, plenty",csomó,adj,2014-05-18,,
eitel,vain,hiú,adj,2014-08-24,,
ekelhaft,disgusting,gusztustalan,adj,2014-10-01,,
elementar,basic (skill level),"alapfokú (tudás, nyelvtudás, A szint)",adj,2014-09-23,,
eng,"close, narrow","szűk, szoros",adj,2014-05-01,,
englisch,English,angol,adj,2014-10-16,,
entscheidend,decisive,döntő,adj,2014-05-01,,
enttäuscht,disappointed,csalódott,adj,2014-10-18,,
"erfahren,-",senior,tapasztalt,adj,2014-05-01,,
erfolgreich,successful,sikeres,adj,2014-05-11,,
erfolgsverwöhnt,spoiled by success,sikerhez szokott (kb. elkényeztetette a sors),adj,2014-08-31,,
ermüdend,tiring,fárasztó,adj,2014-05-01,,
ernst,serious,komoly,adj,2014-10-06,,
erschöpft,exhausted,kimerült,adj,2014-06-06,,
ertragbar,"bearable, tolerable",elviselhetető,adj,2014-08-13,,
estisch,Estonian,észt,adj,2014-10-16,,
etabliert,established,közismert,adj,2014-05-01,,
exzellent,excellent,kiváló,adj,2014-06-04,,
"fällig,-",due,esedékes,adj,2014-05-18,,
falsch,fake,hazug,adj,2014-08-24,,
faul,rotten; lazy,lusta,adj,2014-06-06,,
fein,fine,"nemes, finom, szép",adj,2014-05-24,,
feucht,"wet, humid, moist",nedves,adj,2014-05-01,,
flach,flat,lapos,adj,2014-05-01,,
fleißig,hardworking,szorgalmas,adj,2014-08-24,,
fortgeschritten,advanced,"haladó (tudás, nyelvtudás)",adj,2014-09-23,,
französisch,French,francia,adj,2014-10-16,,
frech,cheeky,pimasz,adj,2014-08-06,,
froh,happy (for stg),boldog (vmiért),adj,2014-08-02,,
fröhlich,happy (feeling),jókedvű (hangulat); vidám (ember),adj,2014-08-02,,
furchtbar,"terrible, horrible","borzalmas, szörnyű",adj,2014-10-01,,
gebrochen,broken,tört,adj,2014-10-09,,
"gebunden,-","bound, constrained to sth; committed",kötött,adj,2014-08-31,,
gefährlich,dangerous,veszélyes,adj,2014-08-06,,
geizig,"stingy (colloquial), mean","fösvény, zsugori, fukar, sóher",adj,2014-08-31,,
geldgierig,greedy (for money),kapzsi,adj,2014-10-06,,
gelungen,successful,"jól sikerült, sikeres",adj,2014-08-13,,
gemütlich,"comfortable, cozy, pleasant; friendly, genial, cheerful, easy-going.",kényelmes; kellemes,adj,2014-08-24,,
genau,"accurate, precise, exact",pontos (nem időben); pontosan,adj,2014-08-02,,
gepflegt,"neat, groomed",ápolt,adj,2014-08-02,,
gerne,gladly,szívesen,adj,2014-10-07,,
geschickt,"skilled, skillful, handy",ügyes,adj,2014-10-01,,
geschieden,divorced,elvált,adj,2014-08-06,,
geschmeidig,"supple, nimble, flexible",simulékony,adj,2014-10-14,,
gesetzlich,"legal, legitimate, lawful",törvényes; törvényesen,adj,2014-06-04,,
giftig,poisonous,mérgező,adj,2014-05-01,,
glatt,slippery,csúszós,adj,2014-10-01,,
griechisch,Greek,görög,adj,2014-10-16,,
großzügig,"generous, noble",nagyvonalú,adj,2014-08-13,,
grundkenntnisse,basic (skill level),"alap (tudás, nyelvtudás)",adj,2014-09-23,,
gründlich,thorough(ly),"alapos, alaposan",adj,2014-10-14,,
grundliegende,basic (skill level),alapvető (nyelvtudásra is),adj,2014-09-23,,
günstig,cheap (positive),olcsó (pozitív),adj,2014-08-24,,
gutaussehend,handsome; pretty,jóképű; csinos,adj,2014-08-02,,
gute kenntnisse,"good, solid (skill level)","jó (tudás, nyelvtudásra)",adj,2014-09-23,,
hart,hard,kemény,adj,2014-08-06,,
hartnäckig,"obstinate, stubborn",keményfejű,adj,2014-05-24,,
hässlich,ugly; mean,csúnya; utálatos,adj,2014-08-02,,
häufig,"frequent, common; frequently, commonly, often",gyakran,adj,2014-05-01,,
heiser,husky,rekedt,adj,2014-07-29,,
hervorgehoben,highlighted,kiemelt,adj,2014-10-11,,
hervorragend,"outstanding, superb",kiváló,adj,2014-07-29,,
hochmotiviert,highly motivated,nagyon motivált,adj,2014-07-16,,
"hochschwanger,-",very pregnant,terhes (nagyon),adj,2014-05-01,,
horrend,"horrendous, horrific","borzasztó, iszonyatos",adj,2014-08-04,,
hübsch,pretty,szép (személy),adj,2014-08-02,,
indisch,Indian,indiai,adj,2014-10-16,,
israelisch,"Israeli, from Israel",izraeli,adj,2014-10-16,,
italienisch,Italian,olasz,adj,2014-10-16,,
japanisch,Japanese,japán,adj,2014-10-16,,
jetzig,present,jelen,adj,2014-08-06,,
jugendlich,"adolescent, youth",fiatal,adj,2014-08-20,,
"jung,⍨er,⍨sten",junior,kezdő,adj,2014-05-01,,
kanadisch,Canadian,kanadai,adj,2014-10-16,,
"klug,⍨er,⍨sten",smart,"okos, értelmes",adj,2014-05-01,,
kompetent,competent; advanced (skill level),"kompetens (tudás, nyelvtudás, C szint)",adj,2014-09-23,,
konstant,constant,konstans,adj,2014-05-05,,
kontinuierlich,continuous; ongoing,folyamatos,adj,2014-05-05,,
kreisförmig,round-shaped,köralakú,adj,2014-08-02,,
kroatisch,Croatian,cseh,adj,2014-10-16,,
lahm,"boring, lame (colloquial)","vontatott, unalmas, lassú; gáz (informális)",adj,2014-10-01,,
leicht,gently,finoman,adj,2014-05-10,,
leicht,"light, easy",könnyű,adj,2014-10-09,,
leuchtend,"bright, vibrant",élénk,adj,2014-05-01,,
lustig,funny,vicces,adj,2014-10-06,,
lustlos,dull; lackluster; spiritless; spiritlessly,kedvtelen,adj,2014-06-04,,
luxemburgisch,Luxembourgian,luxembourgi,adj,2014-10-16,,
männlich,"male, manly",férfi; férfias,adj,2014-08-31,,
merkwürdig,"odd, strange","furcsa, talányos",adj,2014-08-13,,
mexikanisch,Mexican,mexikói,adj,2014-10-16,,
misstrauisch,"distrustful, suspicious",gyanús,adj,2014-05-01,,
mittelaltrig,middle aged,középkorú,adj,2014-08-20,,
mittelmäßig,medium,közepes,adj,2014-08-02,,
"monatelang,-","lasting for months, months of",hónapokig,adj,2014-05-01,,
mutig,"brave, courageous",bátor,adj,2014-08-06,,
nachvollziehbar,understandable,érthető,adj,2014-05-07,,
nagelneue,brand new,zsír új (slang),adj,2014-05-01,,
nass,wet,vizes,adj,2014-05-01,,
naturgetreu,realistic,"valósághű, természethű",adj,2014-05-01,,
neblig,foggy,ködös,adj,2014-08-24,,
neugierig,curious,kíváncsi,adj,2014-10-06,,
neuseeländisch,New Zealander,új-zélandi,adj,2014-10-16,,
nichtig,"futile, inane, void","semmis, jelentéktelen, értéktelen",adj,2014-10-14,,
niederländisch,Dutch,holland,adj,2014-10-16,,
nördlich,northern,északi,adj,2014-05-01,,
norwegisch,Norwegian,norvég,adj,2014-10-16,,
oberflächlich,superficial,felületes,adj,2014-05-01,,
österreichisch,Austrian,ausztria,adj,2014-10-16,,
östlich,eastern,keleti,adj,2014-05-01,,
peinlich,embarrassing,"kellemetlen, ciki, égő",adj,2014-08-13,,
penibel,"precise, exact, meticulous; embarrassing","aprólékos, aprólékosan; pedáns, pedánsan",adj,2014-10-12,,
polnisch,Polish,lengyel,adj,2014-10-16,,
portugiesisch,Portuguese,portugál,adj,2014-10-16,,
präzis,precise,pontos,adj,2014-08-02,,
preiswert,cost-effective,jutányos,adj,2014-08-24,,
pünktlich,"punctual, prompt",pontos (időben),adj,2014-08-02,,
quer,crosswise,átlós,adj,2014-05-29,,
regelmäßig,regularly,rendszeresen,adj,2014-05-01,,
reich,rich,gazdag,adj,2014-05-01,,
riechend,smelling,szagos; illatos,adj,2014-08-02,,
roh,raw,nyers,adj,2014-08-06,,
russisch,Russian,orosz,adj,2014-10-16,,
sauber,clean,tiszta,adj,2014-08-02,,
schick,pretty (clothes),sikkes,adj,2014-08-02,,
schlampig,sloppy; sluttish,slampos; trehány,adj,2014-08-02,,
schlank,slim,vékony (személy),adj,2014-08-02,,
schlank,slim,vékony,adj,2014-10-06,,
schlau,clever,okos; ravasz,adj,2014-05-01,,
schlechtaussehend,ugly,ronda,adj,2014-08-02,,
schmal,narrow,keskeny,adj,2014-08-02,,
"schmal,~er/⍨er,~sten/⍨sten",narrow,"keskeny, szűk",adj,2014-05-01,,
schottisch,Scottish,skót,adj,2014-10-16,,
schüchtern,shy,szégyenlős,adj,2014-08-31,,
schwammig,"pulpy, spongy; imprecise (figuratively)",szivacsos; ködös (átvitt),adj,2014-08-24,,
schweizer,Swiss,svájci,adj,2014-10-16,,
selbständig,intermediate (skill level),"önálló (tudás, nyelvtudás, B szint)",adj,2014-09-23,,
selten,rare,ritka,adj,2014-05-01,,
seltsam,"strange, wierd",furcsa,adj,2014-05-01,,
serbisch,Serbian,szerb,adj,2014-10-16,,
skurril,"quirky, whimsical, absurd, bizarre","furcsa, bizarr",adj,2014-08-09,,
slowakisch,Slovakian,szlovák,adj,2014-10-16,,
slowenisch,Slovenian,szlovén,adj,2014-10-16,,
sorglos,carefree; careless,"gondtalan, laza; gondatlan",adj,2014-08-31,,
spanisch,Spanish,spanyol,adj,2014-10-16,,
"ständig,-",persistent; permanent,"állandó; állandóan, folyton",adj,2014-05-05,,
steinig,stony,"sziklás, köves",adj,2014-10-14,,
stimmgewaltig,"loud voiced, strong voiced",erős hangú,adj,2014-09-16,,
stinkend,"stinky, smelly",büdös,adj,2014-08-02,,
stockreich,totally rich (colloquial),kőgazdag (informális),adj,2014-06-10,,
stolz,proud,büszke,adj,2014-10-14,,
stumm,dumb,néma,adj,2014-08-24,,
stupide,stupid,hülye,adj,2014-08-13,,
stur,stubborn,makacs,adj,2014-08-24,,
südlich,southern,déli,adj,2014-05-01,,
"tatsächlich,-",really,tényleg,adj,2014-05-01,,
taugen,"to be suitable, to be good for","alkalmas, megfelelő",adj,2014-10-06,,
teilweise,partial,rész,adj,2014-06-04,,
treu,faithful,hűséges,adj,2014-05-01,,
treu,"faithful, true",hűséges,adj,2014-08-24,,
tschechisch,Czech,cseh,adj,2014-10-16,,
türkisch,Turkish,török,adj,2014-10-16,,
überfällig,overdue,túlesedékes,adj,2014-05-18,,
üblich,usual,szokásos,adj,2014-05-01,,
"übrig,-","left over, remaining","megmaradt, maradék",adj,2014-05-01,,
ukrainisch,Ukrainian,ukrán,adj,2014-10-16,,
umsonst,for nothing,ingyen; semmiért; hiába,adj,2014-08-24,,
unangenehm,unpleasant,kellemetlen,adj,2014-10-18,,
unbekümmert,reckless,gondtalan,adj,2014-08-31,,
unentschieden,"tie, standoff","döntetlen, eldöntetlen",adj,2014-07-06,,
unersetzlich,irreplaceable,pótolhatatlan,adj,2014-10-14,,
unertragbar,"unbearable, untolerable",elviselhetetlen,adj,2014-08-13,,
ungarisch,Hungarian,magyar,adj,2014-10-16,,
ungeduldig,impatient,türelmetlen,adj,2014-05-01,,
ungefährdet,invulnerable,nem veszélyeztetett,adj,2014-06-06,,
ungemütlich,uncomfortable,kényelmetlen; kellemetlen,adj,2014-08-24,,
ungenau,inaccurate; approximate; imprecise,pontatlan (nem időben),adj,2014-08-02,,
ungepflegt,unkempt,ápolatlan,adj,2014-08-02,,
unheimlich,wierd (person); sinister,"furcsa (ember); ijesztő, kisérteties (ház)",adj,2014-10-11,,
unmotiviert,unmotivated,motiválatlan,adj,2014-06-04,,
unpünktlich,unpunctual,pontatlan (időben),adj,2014-08-02,,
unreife,unripe,éretlen,adj,2014-05-01,,
unsicher,"uncertain, unsure; unsafe",bizonytalan; veszélyes,adj,2014-05-01,,
"unterschieden,-","various, different","vegyes, különböző",adj,2014-05-01,,
"unterscheidet,-",distinguished,megkülönböztetett,adj,2014-10-20,,
"unzählig,-",countless,számtalan,adj,2014-05-01,,
unzufrieden,unsatisfied,elégedetlen,adj,2014-08-02,,
verdeckt,hidden; buried,eltakarva,adj,2014-05-29,,
verhandlungsfähig,capable of negotiation,tárgyalóképes,adj,2014-09-23,,
vernünftig,"reasonable, sensible, rational","megfontolt, belátó",adj,2014-10-15,,
verreist,gone; being on a trip,elutazva lenni,adj,2014-06-06,,
verschieden,"various, different","vegyes, különböző",adj,2014-05-01,,
verwöhnt,spoiled,elkényeztetett,adj,2014-08-31,,
vorgeschrieben,"dictated, commanded",előírt,adj,2014-05-29,,
"vorrangig,~",preferred,"preferált, előnnyel rendelkező",adj,2014-05-01,,
vorsichtig,"careful, carefully","óvatos, óvatosan",adj,2014-05-01,,
wahnsinn,"crazy, mad",őrült,adj,2014-10-11,,
wahrscheinlich,probably,valószínű,adj,2014-05-01,,
weiblich,"female, womanly",női; nőies,adj,2014-08-31,,
"weich,~er,~esten",soft,puha,adj,2014-05-01,,
"weit,~er,~esten",wide,széles,adj,2014-05-01,,
wertig,valuable,értékes,adj,2014-05-01,,
westlich,western,nyugati,adj,2014-05-01,,
wirtschaftlich,"economic, efficient",gazdaságos,adj,2014-08-24,,
wütend,furious,mérges,adj,2014-09-22,,
zornig,"angry, furious",haragos,adj,2014-09-22,,
zufällig,"accidental, coincidental; random, by chance, stochastic",véletlenül,adj,2014-05-29,,
zufrieden,satisfied,elégedett,adj,2014-08-02,,
"zusätzlich,-",additional,"extra, hozzá-",adj,2014-05-01,,
allenfalls,"at best, at most",legjobb esetben,adv,2014-07-29,,
"angeblich,-",allegedly,állítólag,adv,2014-05-12,,
beinah,almost,közel,adv,2014-05-01,,
besonders,"especially, particularly; exceptionally",kimondottan; kivételesen,adv,2014-10-13,,
bestenfalls,"at best, at most",legjobb esetben,adv,2014-07-29,,
bisher,"so far, this far",eddig,adv,2014-08-11,,
dabei,"yet, however; (when) indeed, (but) actually; with one, on one; with him/her/that","amellett, mellette, azáltal, pedig, ennél, annál; azonkívül, méghozzá; vkinél/vkivel",adv,2014-10-14,,
darauf,on,rajta,adv,2014-05-01,,
darüber,"about that, above that","erről, arról, róla (tudni, olvasni, hallani, stb); afelett, efelett",adv,2014-05-10,,
dazu,about that,"ahhoz, ehhez (hozzátenni, elmondani)",adv,2014-05-10,,
dennoch,"anyhow, however",ennek ellenére; mégiscsak,adv,2014-06-04,,
derzeitig,"current, currently",aktuális,adv,2014-10-09,,
deshalb,"therefore, hence",ezért,adv,2014-05-01,,
dorthin,(to) there,oda,adv,2014-05-01,,
eher,"rather, quite",inkább,adv,2014-05-01,,
eigentlich,"actually, properly",valójában,adv,2014-05-01,,
endlich,in the end,végre,adv,2014-05-01,,
häufig,often,gyakran,adv,2014-05-06,,
hierzu,about this,"erről, ehhez (hozzátenni, elmondani)",adv,2014-05-10,,
höchstens,"at best, at most",legjobb esetben,adv,2014-07-29,,
hoffentlich,hopefully,remélhetőleg,adv,2014-10-09,,
immerhin,after all,mégiscsak,adv,2014-05-01,,
irgendwo,somewhere,valahol,adv,2014-10-08,,
je,ever,valaha,adv,2014-08-11,,
jedoch,however,"ámde, mindazonáltal",adv,2014-07-30,,
jemals,ever,valaha,adv,2014-10-11,,
kaum,"hardly, scarcely, barely",alig,adv,2014-08-11,,
letzlich,in the end,végre,adv,2014-05-01,,
meistens,"mostly, usually, normally",legtöbbször,adv,2014-05-01,,
mindestens,at least,minimum,adv,2014-05-01,,
nötig,necessary,"kötelező, szükséges",adv,2014-10-13,,
nun,"well, so",nos,adv,2014-05-01,,
rückwärts,backwards,"hátrafelé, visszafelé",adv,2014-10-14,,
sau,bunch (colloquial),nagyon (informális),adv,2014-10-01,,
schließlich,"after all, in the end",végül,adv,2014-05-01,,
sonst,"else, otherwise, besides, moreover",különben,adv,2014-08-24,,
stattdessen,instead,helyette,adv,2014-05-01,,
teilweise,"partially, to some extent",részben; egy bizonyos fokig/szintig,adv,2014-06-04,,
trotzdem,"anyhow, however",ennek ellenére; mégiscsak,adv,2014-07-30,,
überhaupt,"at all, anyway",egyáltalán,adv,2014-05-05,,
vergangen,"past, bygone",múlt,adv,2014-08-06,,
volkig,cloudy,felhős,adv,2014-05-01,,
vorher,beforehand,"korábban, előtte",adv,2014-05-01,,
vorher,"before, beforehand",előtte,adv,2014-05-09,,
weiterhin,"continue, still",tovább,adv,2014-05-10,,
weshalb,"why, wherefore",amiért,adv,2014-05-01,,
wozu,wherefor? whereto? what for?,minek; mihez,adv,2014-08-06,,
zukünftig,in the future,jövőben,adv,2014-08-06,,
zuletzt,last time,utolsó alkalommal,adv,2014-05-01,,
zumindest,at least,legalábbis,adv,2014-08-11,,
zumindest,at least,legalább,adv,2014-10-09,,
zurzeit,"currently, at the moment",pillanatnyilag,adv,2014-08-11,,
zuvor,"before, beforehand",korábban,adv,2014-10-11,,
zwar,although,bár,adv,2014-05-09,,
... eigentlich?,"By the way, ...","Tényleg, ...?",exp,2014-10-11,,
(es) klingt gut,sounds good,jól hangzik,exp,2014-08-06,,
(viel) Wert auf etwas legen,to value something (a lot),(sokat) adni vmire,exp,2014-10-01,,
alles drumm und dran,paraphernalia,"minden, ami hozzá tartozik",exp,2014-08-24,,
alles Satt haben,being all fed up (colloquial),mindenből elégnek lenni (informális),exp,2014-06-10,,
als ob,as if,mintha,exp,2014-10-13,,
Ältere Dame,elderly lady,idősebb hölgy,exp,2014-08-20,,
Älterer Herr,elderly genteman,idősebb úr,exp,2014-08-20,,
am Arsch,shit (vulgar),szar (vulgáris),exp,2014-05-01,,
am gleichen Tag,on the same day,aznap,exp,2014-05-01,,
an Montag,on Monday,hétfőn,exp,2014-05-01,,
"an|tun, antun, antust, antut, antun, antut, antun, antaten, angetan + (D) + (A)","to do something to someone, to do sb. a mischief, to do violence to sb.",elkövetni valamit valaki ellen,exp,2014-08-24,,
Angenehm,glad (to meet you),örvendek,exp,2014-10-10,,
Angenehm Sie kennenzulernen,glad to meet you,"örvendek, hogy megismerhetem",exp,2014-10-10,,
ansonsten,otherwise,egyébként,exp,2014-05-01,,
arme Sau,poor thing,szegény pára,exp,2014-10-01,,
auch mal,sometimes ,"néha, alkalomadtán",exp,2014-05-01,,
auf dem Spiel stehen,to be on the line of sthg,valaminek a tétje,exp,2014-06-06,,
auf ein Bier,for a beer,egy kávéra,exp,2014-10-08,,
auf etw. antworten,to answer to sth,válaszolni vmire,exp,2014-05-10,,
auf jdn. antworten,to react to sb,reagálni vkinek,exp,2014-05-10,,
auf keine weise?,by no means? no way?,semmi esetre sem?,exp,2014-10-15,,
Ausgeschlossen!,No way!,Az kizárt!,exp,2014-10-09,,
austauschen lassen,to have sthg replaced,kicseréltetni,exp,2014-05-24,,
beim Stand der Dinge,as things are now,a dolgok állása alapján,exp,2014-09-23,,
beschweren + sich(A) + bei + jmd,to complain to somone,panaszt tenni vkinél,verb,2014-05-01,,
beschweren + sich(A) + über + (A),to complain about something,panaszkodni valamiről,verb,2014-05-01,,
checkst es nicht?,don't you get it? (colloquial),nem érted? (informális),exp,2014-05-01,,
Das ist es Wert,that's worth it,érdemes,exp,2014-05-01,,
Das Leben ist kein Ponyhof,life is hard (saying),az élet nem egy habostorta (mondás),exp,2014-07-14,,
das Mittel zum Zweck,the means to an end,eszköz a cél eléréséhez,exp,2014-08-24,,
dazu gehört,what you can imagine,amit el tudsz képzelni,exp,2014-05-24,,
den Kontakt erhalten,to keep in touch,kapcsolatot tartani,exp,2014-05-24,,
Doch schon.,"Yes, I do.",De igen.,exp,2014-10-11,,
dritt größte,third biggest,harmadik legnagyobb,exp,2014-05-29,,
du schaffst Das!,you can do it!,sikerülni fog,exp,2014-05-01,,
ein wenig,to some extent,részben; egy bizonyos fokig/szintig,exp,2014-06-04,,
eine Menge an etw.,a lot of sth,egy csomó vmiből,exp,2014-05-11,,
eine unserer sysadmins,one of our sysadmins,az egyik sysadminunk,exp,2014-05-01,,
einige Maßen,to some extent,részben; egy bizonyos fokig/szintig,exp,2014-06-04,,
einziehen ins Finale,to make it into the finals,bejutni a döntőbe,exp,2014-06-06,,
Ernst?,Seriously?,Komoly?,exp,2014-10-06,,
es geht los,it finally begins,kezdődik végre,exp,2014-05-09,,
es gibt Ärger,there's trouble ,különben dühbe gurulok,exp,2014-05-01,,
es ist mir eine Ehre,my honor,számomra megtiszteltetés,exp,2014-08-31,,
es ist mir recht,it is right to me ,nekem megfelel,exp,2014-05-01,,
es ist so bescheuert!,this is so stupid!,ez akkora baromság!,exp,2014-08-06,,
es Satt haben,being annoyed (by sthg),elegének lenni,exp,2014-06-10,,
fein raus sein,to be off the hook,mossa kezeit,exp,2014-05-24,,
Freut mich ,glad (to meet you),örvendek,exp,2014-10-10,,
Freut mich Sie kennenzulernen,glad to meet you,örvendek,exp,2014-10-10,,
"Freut mich, dich kennenzulernen.",glad to meet you; nice to get to meet you,"örülök, hogy megismerhetlek; örvendek a szerencsének",exp,2014-10-08,,
Geduld!,patience! ,türelem,exp,2014-05-01,,
Geht klar!,Alright!,Rendben!,exp,2014-10-10,,
Geld ausgeben,to spend,pénzt elkölteni,exp,2014-10-15,,
gesagt kriegen,"get said, be told",lehordva lenni?,exp,2014-10-14,,
herstellen den Kontakt,to make contact,kapcsolatot teremteni (form.),exp,2014-05-24,,
Ich befürchte,I'm afraid of,attól tartok,exp,2014-10-15,,
Ich bin rechts ran (gefahren),I pull over,lehúzódok,exp,2014-05-29,,
Ich gebe eins aus!,One's on me!,Meghívlak egyre!,exp,2014-10-15,,
"Ich habe es Satt, immer nach dir Ordnung machen zu müssen",I had enough of you always having to make orders,"elegem van belőle, hogy állandóan parancsolgatnod kell",exp,2014-06-10,,
Ich habe gerade…,I just…,épp most…,exp,2014-05-01,,
Ich hocke immer noch beim Arzt,I'm wasting my time at the doctor,kb. még mindig az orvosnál baszom a rezet,exp,2014-05-18,,
Ich scheisse drauf,I don't give a shit,leszarom,exp,2014-05-09,,
Ich schon.,I do.,Én igen.,exp,2014-10-11,,
Ich sehe das genauso,I agree,egyetértek (az elhangzottakkal),exp,2014-06-06,,
Ich spreche auf einem fortgeschritten Niveau Deutsch.,I speak German at an advanced level,folyékonyan beszélek németül,exp,2014-09-23,,
Ich spreche Deutsch auf einem selbständigen Niveau.,I speak German at a proficient level,haladó szinten beszélek németül,exp,2014-09-23,,
Ich spreche Deutsch auf elementarem Niveau,I speak German at a basic level,alapszinten beszélek németül,exp,2014-09-23,,
ich treffe mich auf ein Bier,to meet someone for a beer,találkozni valakivel egy sörre/kávéra,exp,2014-10-08,,
Ich weiß nicht dieses Problem zu lösen,I don't know how to solve this problem,nem tudom hogyan kell/kéne megoldani ezt a problémát,exp,2014-05-18,,
im Internet,"on the internet, online",interneten,exp,2014-05-10,,
im Marz,in March,márciusban,exp,2014-05-01,,
in 1976,in 1976,1976-ban,exp,2014-05-01,,
in Anspruch nehmen,to utilise; to make use of,igénybevenni,exp,2014-05-01,,
in Ausführungszeichen,in quotation marks,idézőjelben,exp,2014-06-06,,
in gebrochenem Deutsch,(in) broken German,tört német nyelven,exp,2014-10-09,,
"je ... desto ... (z.B. je größer, desto besser)","the sther, the sther (e.g. the bigger the better)","minél vmibb annál vmibb ... (pl. minél nagyobb, annál jobb)",exp,2014-10-18,,
"je ... umso ... (z.B. je größer, desto besser)","the sther, the sther (e.g. the bigger the better)","minél vmibb annál vmibb ... (pl. minél nagyobb, annál jobb)",exp,2014-10-18,,
je zuvor,ever before,valaha korábban,exp,2014-10-11,,
Junge Frau!,Miss!,Fiatalasszony!,exp,2014-08-20,,
Junge Mann!,Mister!,Fiatalúr!,exp,2014-08-20,,
kein Ding,no problem (colloquial),nem probléma,exp,2014-08-31,,
keine Rolle spielen,to not play a role; to be unimportant,nem játszik szerepet; nem számit,exp,2014-06-04,,
Keineswegs!,by no means; anything but; not remotely; in no way,semmi esetre sem,exp,2014-10-09,,
Kinder im Alter von zwei Jahren,two years old...,"két éves kortól ..., két éves korú....",exp,2014-10-11,,
